ANO;NIVEL;NIVEL_DSG;RESIDENT;cod
2011;8;Subsecção;47;13120300403
2011;8;Subsecção;29;13120300404
2011;8;Subsecção;73;13120300405
2011;8;Subsecção;62;13120300406
2011;8;Subsecção;20;13120300407
2011;8;Subsecção;18;13120300408
2011;8;Subsecção;19;13120300409
2011;8;Subsecção;76;13120300410
2011;8;Subsecção;32;13120300411
2011;8;Subsecção;42;13120300412
2011;8;Subsecção;57;13120300501
2011;8;Subsecção;217;13120300502
2011;8;Subsecção;223;13120300503
2011;8;Subsecção;599;13120300601
2011;8;Subsecção;53;13120300602
2011;8;Subsecção;73;13120300701
2011;8;Subsecção;11;13120300702
2011;8;Subsecção;0;13120300703
2011;8;Subsecção;48;13120300704
2011;8;Subsecção;257;13120300705
2011;8;Subsecção;66;13120300706
2011;8;Subsecção;65;13120300707
2011;8;Subsecção;13;13120300708
2011;8;Subsecção;26;13120300709
2011;8;Subsecção;219;13120300710
2011;8;Subsecção;0;13120300801
2011;8;Subsecção;44;13120300802
2011;8;Subsecção;83;13120300803
2011;8;Subsecção;15;13120300804
2011;8;Subsecção;25;13120300805
2011;8;Subsecção;21;13120300806
2011;8;Subsecção;7;13120300807
2011;8;Subsecção;315;13120300808
2011;8;Subsecção;37;13120300809
2011;8;Subsecção;174;13120300901
2011;8;Subsecção;361;13120300902
2011;8;Subsecção;361;13120300903
2011;8;Subsecção;114;13120300904
2011;8;Subsecção;17;13120301001
2011;8;Subsecção;60;13120301002
2011;8;Subsecção;66;13120301003
2011;8;Subsecção;191;13120301004
2011;8;Subsecção;106;13120301005
2011;8;Subsecção;22;13120301006
2011;8;Subsecção;31;13120301101
2011;8;Subsecção;53;13120301102
2011;8;Subsecção;59;13120301103
2011;8;Subsecção;74;13120301104
2011;8;Subsecção;84;13120301105
2011;8;Subsecção;92;13120301106
2011;8;Subsecção;152;13120301107
2011;8;Subsecção;123;13120301201
2011;8;Subsecção;106;13120301202
2011;8;Subsecção;129;13120301203
2011;8;Subsecção;28;13120301204
2011;8;Subsecção;108;13120301205
2011;8;Subsecção;27;13120301206
2011;8;Subsecção;24;13120301207
2011;8;Subsecção;30;13120301208
2011;8;Subsecção;41;13120301209
2011;8;Subsecção;34;13120301210
2011;8;Subsecção;27;13120301211
2011;8;Subsecção;506;13120301301
2011;8;Subsecção;119;13120301401
2011;8;Subsecção;257;13120301402
2011;8;Subsecção;13;13120301403
2011;8;Subsecção;38;13120301404
2011;8;Subsecção;124;13120301405
2011;8;Subsecção;42;13120301501
2011;8;Subsecção;8;13120301502
2011;8;Subsecção;17;13120301503
2011;8;Subsecção;37;13120301504
2011;8;Subsecção;149;13120301505
2011;8;Subsecção;98;13120301506
2011;8;Subsecção;176;13120301507
2011;8;Subsecção;72;13120301508
2011;8;Subsecção;282;13120301601
2011;8;Subsecção;42;13120301602
2011;8;Subsecção;310;13120301603
2011;8;Subsecção;246;13120301604
2011;8;Subsecção;82;13120301605
2011;8;Subsecção;229;13120301701
2011;8;Subsecção;165;13120301702
2011;8;Subsecção;68;13120301703
2011;8;Subsecção;39;13120301704
2011;8;Subsecção;50;13120301705
2011;8;Subsecção;362;13120301801
2011;8;Subsecção;20;13120301802
2011;8;Subsecção;58;13120301803
2011;8;Subsecção;14;13120301804
2011;8;Subsecção;11;13120301805
2011;8;Subsecção;13;13120301806
2011;8;Subsecção;7;13120301807
2011;8;Subsecção;7;13120301808
2011;8;Subsecção;3;13120301809
2011;8;Subsecção;8;13120301810
2011;8;Subsecção;5;13120301811
2011;8;Subsecção;188;13120301901
2011;8;Subsecção;105;13120301902
2011;8;Subsecção;85;13120301903
2011;8;Subsecção;11;13120301904
2011;8;Subsecção;11;13120301905
2011;8;Subsecção;22;13120301906
2011;8;Subsecção;63;13120301907
2011;8;Subsecção;121;13120302001
2011;8;Subsecção;60;13120302002
2011;8;Subsecção;66;13120302003
2011;8;Subsecção;238;13120302004
2011;8;Subsecção;39;13120302005
2011;8;Subsecção;67;13120302101
2011;8;Subsecção;332;13120302102
2011;8;Subsecção;213;13120302103
2011;8;Subsecção;90;13120302104
2011;8;Subsecção;2;13120302105
2011;8;Subsecção;28;13120302106
2011;8;Subsecção;34;13120302107
2011;8;Subsecção;21;13120302108
2011;8;Subsecção;39;13120302109
2011;8;Subsecção;84;13120302201
2011;8;Subsecção;142;13120302202
2011;8;Subsecção;47;13120302203
2011;8;Subsecção;874;13120302204
2011;8;Subsecção;54;13120302205
2011;8;Subsecção;0;13120302206
2011;8;Subsecção;116;13120302301
2011;8;Subsecção;71;13120302302
2011;8;Subsecção;38;13120302303
2011;8;Subsecção;34;13120302304
2011;8;Subsecção;101;13120302305
2011;8;Subsecção;41;13120302401
2011;8;Subsecção;36;13120302402
2011;8;Subsecção;223;13120302403
2011;8;Subsecção;237;13120302404
2011;8;Subsecção;216;13120302405
2011;8;Subsecção;105;13120302501
2011;8;Subsecção;126;13120302502
2011;8;Subsecção;484;13120302601
2011;8;Subsecção;119;13120302701
2011;8;Subsecção;133;13120302702
2011;8;Subsecção;17;13120302703
2011;8;Subsecção;31;13120302704
2011;8;Subsecção;55;13120302705
2011;8;Subsecção;105;13120302706
2011;8;Subsecção;127;13120302801
2011;8;Subsecção;87;13120302802
2011;8;Subsecção;138;13120302803
2011;8;Subsecção;77;13120302804
2011;8;Subsecção;131;13120302805
2011;8;Subsecção;31;13120302806
2011;8;Subsecção;175;13120302807
2011;8;Subsecção;158;13120302901
2011;8;Subsecção;299;13120302902
2011;8;Subsecção;121;13120302903
2011;8;Subsecção;76;13120303001
2011;8;Subsecção;19;13120303002
2011;8;Subsecção;90;13120303003
2011;8;Subsecção;127;13120303004
2011;8;Subsecção;246;13120303005
2011;8;Subsecção;160;13120303101
2011;8;Subsecção;319;13120303102
2011;8;Subsecção;322;13120303103
2011;8;Subsecção;184;13120303201
2011;8;Subsecção;182;13120303202
2011;8;Subsecção;4;13120303203
2011;8;Subsecção;103;13120303204
2011;8;Subsecção;50;13120303205
